date,product_name,amount,customer_id
2024-01-15,iPhone 15 Pro Max,1199.00,CUST001
2024-01-15,Samsung Galaxy S24 Ultra,1299.99,CUST002
2024-01-16,iPhone 15 Pro,999.00,CUST003
2024-01-16,Google Pixel 8 Pro,899.00,CUST004
2024-01-17,iPhone 15,799.00,CUST005
2024-01-17,Samsung Galaxy S24,799.99,CUST006
2024-01-18,iPhone 14 Pro Max,1099.00,CUST007
2024-01-18,OnePlus 12,699.99,CUST008
2024-01-19,iPhone 15 Plus,899.00,CUST009
2024-01-19,Samsung Galaxy S24 Plus,999.99,CUST010
2024-01-20,iPhone 14 Pro,899.00,CUST011
2024-01-20,Google Pixel 8,699.00,CUST012
2024-01-21,iPhone 14,699.00,CUST013
2024-01-21,Samsung Galaxy A54,449.99,CUST014
2024-01-22,iPhone 13,599.00,CUST015
2024-01-22,Xiaomi 14 Ultra,1299.99,CUST016
2024-01-23,iPhone 15 Pro Max,1199.00,CUST017
2024-01-23,Samsung Galaxy S24 Ultra,1299.99,CUST018
2024-01-24,iPhone 15 Pro,999.00,CUST019
2024-01-24,Google Pixel 8 Pro,899.00,CUST020
2024-01-25,iPhone 15,799.00,CUST021
2024-01-25,Samsung Galaxy S24,799.99,CUST022
2024-01-26,iPhone 14 Pro Max,1099.00,CUST023
2024-01-26,OnePlus 12,699.99,CUST024
2024-01-27,iPhone 15 Plus,899.00,CUST025
2024-01-27,Samsung Galaxy S24 Plus,999.99,CUST026
2024-01-28,iPhone 14 Pro,899.00,CUST027
2024-01-28,Google Pixel 8,699.00,CUST028
2024-01-29,iPhone 14,699.00,CUST029
2024-01-29,Samsung Galaxy A54,449.99,CUST030
2024-01-30,iPhone 13,599.00,CUST031
2024-01-30,Xiaomi 14 Ultra,1299.99,CUST032
2024-01-31,iPhone 15 Pro Max,1199.00,CUST033
2024-01-31,Samsung Galaxy S24 Ultra,1299.99,CUST034
2024-02-01,iPhone 15 Pro,999.00,CUST035
2024-02-01,Google Pixel 8 Pro,899.00,CUST036
2024-02-02,iPhone 15,799.00,CUST037
2024-02-02,Samsung Galaxy S24,799.99,CUST038
2024-02-03,iPhone 14 Pro Max,1099.00,CUST039
2024-02-03,OnePlus 12,699.99,CUST040
2024-02-04,iPhone 15 Plus,899.00,CUST041
2024-02-04,Samsung Galaxy S24 Plus,999.99,CUST042
2024-02-05,iPhone 14 Pro,899.00,CUST043
2024-02-05,Google Pixel 8,699.00,CUST044
2024-02-06,iPhone 14,699.00,CUST045
2024-02-06,Samsung Galaxy A54,449.99,CUST046
2024-02-07,iPhone 13,599.00,CUST047
2024-02-07,Xiaomi 14 Ultra,1299.99,CUST048
2024-02-08,iPhone 15 Pro Max,1199.00,CUST049
2024-02-08,Samsung Galaxy S24 Ultra,1299.99,CUST050
